t(s)	u_raw(m/s)	v_raw(m/s)	w_raw(m/s)	u_despiked(m/s)	v_despiked(m/s)	w_despiked(m/s)
0.00	0.000	0.000	0.000	NaN	NaN	NaN
0.02	2.516	0.385	0.922	NaN	NaN	NaN
0.04	0.974	0.789	4.159	NaN	NaN	NaN
0.06	2.516	0.385	2.685	NaN	NaN	NaN
0.08	1.514	0.661	1.062	NaN	NaN	NaN
0.1	1.012	0.799	4.193	NaN	NaN	NaN
0.12	2.382	0.351	2.638	NaN	NaN	NaN
0.14	0.932	0.82	2.58	NaN	NaN	NaN
0.16	0.898	0.769	5.17	NaN	NaN	NaN
0.18	1.073	0.781	3.803	NaN	NaN	NaN
0.2	2.829	0.351	1.55	NaN	NaN	NaN
0.22	1.514	0.661	3.288	NaN	NaN	NaN
0.24	0.384	0.904	5.481	NaN	NaN	NaN
0.26	0.761	0.868	4.786	NaN	NaN	NaN
0.28	2.517	0.385	1.937	NaN	NaN	NaN
0.3	2.517	0.385	-0.373	NaN	NaN	NaN
0.32	0.51	0.937	3.458	NaN	NaN	NaN
0.34	3.521	0.11	-2.858	NaN	NaN	NaN
0.36	3.521	0.11	3.601	NaN	NaN	NaN
0.38	2.981	0.238	-0.05	NaN	NaN	NaN
0.4	2.479	0.375	1.981	NaN	NaN	NaN
0.42	3.098	0.226	2.593	NaN	NaN	NaN
0.44	0.384	0.905	5.169	NaN	NaN	NaN
0.46	2.622	0.413	2.215	NaN	NaN	NaN
0.48	2.517	0.385	1.826	NaN	NaN	NaN
0.5	3.402	0.079	-0.287	NaN	NaN	NaN
0.52	2.266	0.455	3.179	NaN	NaN	NaN
0.54	2.496	0.38	1.823	NaN	NaN	NaN
0.56	2.549	0.394	2.133	NaN	NaN	NaN
0.58	3.521	0.11	1.02	NaN	NaN	NaN
0.6	1.45	0.644	4.152	NaN	NaN	NaN
0.62	2.517	0.385	1.907	NaN	NaN	NaN
0.64	3.326	0.058	-0.408	NaN	NaN	NaN
0.66	1.223	0.82	2.73	NaN	NaN	NaN
0.68	1.663	0.699	3.783	NaN	NaN	NaN
0.7	3.081	0.298	1.71	NaN	NaN	NaN
0.72	-0.017	1.027	4.95	NaN	NaN	NaN
0.74	0.489	0.932	4.234	NaN	NaN	NaN
0.76	2.549	0.394	1.904	NaN	NaN	NaN
0.78	2.987	0.239	1.305	NaN	NaN	NaN
0.8	1.64	0.693	1.915	NaN	NaN	NaN
0.82	0.51	0.937	5.234	NaN	NaN	NaN
0.84	0.786	1.008	4.484	NaN	NaN	NaN
0.86	0.194	0.855	5.301	NaN	NaN	NaN
0.88	1.535	0.666	2.77	NaN	NaN	NaN
0.9	3.382	0.073	-0.261	NaN	NaN	NaN
0.92	2.517	0.385	-1.249	NaN	NaN	NaN
0.94	2.537	0.391	0.062	NaN	NaN	NaN
0.96	1.205	0.734	4.228	NaN	NaN	NaN
0.98	2.517	0.385	1.72	NaN	NaN	NaN
1	1.675	-0.369	-3.079	NaN	NaN	NaN
1.02	2.944	0.228	1.363	NaN	NaN	NaN
1.04	2.377	0.349	1.198	NaN	NaN	NaN
1.06	1.226	0.72	6.019	NaN	NaN	NaN
1.08	1.401	0.631	1.416	NaN	NaN	NaN
1.1	1.514	0.661	3.08	NaN	NaN	NaN
1.12	2.517	0.385	1.703	NaN	NaN	NaN
1.14	0.948	0.816	3.497	NaN	NaN	NaN
1.16	0.51	0.937	4.706	NaN	NaN	NaN
1.18	2.343	0.34	0.053	NaN	NaN	NaN
1.2	1.514	0.661	3.379	NaN	NaN	NaN
1.22	2.807	0.226	0.617	NaN	NaN	NaN
1.24	3.546	0.115	0.677	NaN	NaN	NaN
1.26	1.514	0.661	2.843	NaN	NaN	NaN
1.28	2.516	0.385	2.087	NaN	NaN	NaN
1.3	2.342	0.34	0.481	NaN	NaN	NaN
1.32	0.806	-0.058	1.845	NaN	NaN	NaN
1.34	2.516	0.385	4.102	NaN	NaN	NaN
1.36	2.494	0.38	2.409	NaN	NaN	NaN
1.38	0.53	0.942	4.232	NaN	NaN	NaN
1.4	2.516	0.385	0.988	NaN	NaN	NaN
1.42	1.033	-0.134	-0.349	NaN	NaN	NaN
1.44	1.279	0.734	4.202	NaN	NaN	NaN
1.46	3.12	0.274	1.479	NaN	NaN	NaN
1.48	3.13	0.276	-0.066	NaN	NaN	NaN
1.5	0.51	0.936	6.035	NaN	NaN	NaN
1.52	2.412	0.359	2.679	NaN	NaN	NaN
1.54	2.227	0.444	1.983	NaN	NaN	NaN
1.56	2.416	0.36	4.077	NaN	NaN	NaN
1.58	3.52	0.11	0.67	NaN	NaN	NaN
1.6	1.542	0.668	3.953	NaN	NaN	NaN
1.62	2.516	0.385	0.553	NaN	NaN	NaN
1.64	1.046	0.841	2.974	NaN	NaN	NaN
1.66	2.516	0.385	4.298	NaN	NaN	NaN
1.68	2.548	0.393	2.867	NaN	NaN	NaN
1.7	2.346	0.341	1.071	NaN	NaN	NaN
1.72	3.624	0.137	0.524	NaN	NaN	NaN
1.74	2.768	0.451	1.739	NaN	NaN	NaN
1.76	2.41	0.358	1.518	NaN	NaN	NaN
1.78	2.62	0.413	2.07	NaN	NaN	NaN
1.8	2.492	0.379	1.996	NaN	NaN	NaN
1.82	3.381	0.207	1.653	NaN	NaN	NaN
1.84	2.494	0.38	1.335	NaN	NaN	NaN
1.86	0.34	0.892	1.159	NaN	NaN	NaN
1.88	0.34	0.892	7.289	NaN	NaN	NaN
