standard	time	wmstart	depth	wmdisp15	wmwg15	depth1	wg1	wg2	wg3	wg4	wg5	wg6	wg7	wg8	ruwg1	ruwg2	ruwg3	uswg1	uswg2	pres1	pres2	pres3	pres4	pres5	pres6	load1
3.6368	0.0	0.0020494	-2.7102	-4.3438	0.0024042	1.1771	-0.87371	-0.86259	-0.8715700000000001	-0.92111	-0.9245700000000001	-0.9403600000000001	-0.96173	-0.97557	-1.0295	-0.95799	-1.0725	3.5952	-2.2338	0.036575	0.037344999999999996	0.063938	0.08102100000000001	0.06801499999999999	0.059626	0.0021228
3.6371	0.02	0.0017273	-2.71	-4.3432	0.0024042	1.1772	-0.8732200000000001	-0.86275	-0.87092	-0.92111	-0.92425	-0.94052	-0.96205	-0.97606	-1.0295	-0.95831	-1.072	3.5954	-2.233	0.036575	0.037667	0.063777	0.08102100000000001	0.067854	0.05898200000000001	0.0021228
3.6373	0.04	0.0015663	-2.7103	-4.3429	0.0025651999999999997	1.1771	-0.87403	-0.86275	-0.87141	-0.92127	-0.92409	-0.941	-0.9618899999999999	-0.97557	-1.0297	-0.95799	-1.0723	3.5952	-2.2332	0.036414	0.037506	0.063777	0.081343	0.06769299999999999	0.059626	0.0019617999999999997
3.637	0.06	0.0017273	-2.7102	-4.3435	0.0024042	1.1772	-0.87339	-0.8619399999999999	-0.87092	-0.92111	-0.9239299999999999	-0.94084	-0.96173	-0.9762200000000001	-1.0297	-0.95831	-1.0725	3.5954	-2.2333	0.036092	0.037506	0.063938	0.08102100000000001	0.06769299999999999	0.059303999999999996	0.0019617999999999997
3.6373	0.08	0.0018882999999999999	-2.7102	-4.3437	0.0022432	1.1767	-0.8732200000000001	-0.8624200000000001	-0.87141	-0.92143	-0.9239299999999999	-0.94068	-0.96157	-0.9758899999999999	-1.0295	-0.95863	-1.0721	3.6051	-2.2333	0.036414	0.037183999999999995	0.064099	0.08086	0.06721	0.058338	0.0026058
3.6375	0.1	0.0017273	-2.71	-4.3429	0.0025651999999999997	1.1772	-0.8732200000000001	-0.8621	-0.87125	-0.92143	-0.9245700000000001	-0.94068	-0.9614	-0.9762200000000001	-1.0295	-0.95799	-1.0717	3.6125	-2.235	0.036414	0.037344999999999996	0.063777	0.081665	0.067854	0.058499	0.0027668000000000002
3.6376	0.12	0.0020494	-2.71	-4.3422	0.0032091000000000003	1.1772	-0.87355	-0.86339	-0.8718899999999999	-0.92111	-0.92376	-0.9403600000000001	-0.96173	-0.9763799999999999	-1.0292	-0.95815	-1.072	3.6096	-2.2332	0.036253	0.037667	0.063938	0.081182	0.06801499999999999	0.05898200000000001	0.0021228
3.6373	0.14	0.0018882999999999999	-2.71	-4.342	0.0028872	1.1775	-0.87274	-0.8617799999999999	-0.87044	-0.92095	-0.92376	-0.94068	-0.9618899999999999	-0.97606	-1.0297	-0.95831	-1.0725	3.6115	-2.233	0.036092	0.037506	0.063777	0.08102100000000001	0.068176	0.05898200000000001	0.0022838
3.6373	0.16	0.0018882999999999999	-2.71	-4.3425	0.0025651999999999997	1.1772	-0.87274	-0.8624200000000001	-0.87141	-0.92127	-0.9239299999999999	-0.9403600000000001	-0.9614	-0.9763799999999999	-1.0292	-0.95895	-1.0721	3.6078	-2.2332	0.036092	0.037667	0.06361599999999999	0.081343	0.06801499999999999	0.058499	0.0022838
3.6373	0.18	0.0020494	-2.7102	-4.3437	0.0022432	1.1774	-0.8732200000000001	-0.86259	-0.87125	-0.92079	-0.92376	-0.94052	-0.96173	-0.97606	-1.0297	-0.95815	-1.072	3.5919	-2.2332	0.036575	0.037667	0.064099	0.081182	0.06769299999999999	0.05898200000000001	0.0019617999999999997
3.6375	0.2	0.0022104	-2.7105	-4.343	0.0022432	1.1767	-0.8732200000000001	-0.86275	-0.87092	-0.92127	-0.92376	-0.9403600000000001	-0.9614	-0.9762200000000001	-1.0292	-0.95847	-1.072	3.5931	-2.2332	0.036575	0.037344999999999996	0.064099	0.081182	0.067854	0.058660000000000004	0.0024448
