time	wmstart	wmdisp15
0.0000	0.0020	-4.3438
0.0200	0.0017	-4.3432
0.0400	0.0016	-4.3429
0.0600	0.0017	-4.3435
0.0800	0.0019	-4.3437
0.1000	0.0017	-4.3429
0.1200	0.0020	-4.3422
0.1400	0.0019	-4.3420
0.1600	0.0019	-4.3425
0.1800	0.0020	-4.3437
0.2000	0.0022	-4.3430
0.2200	0.0017	-4.3432
0.2400	0.0020	-4.3430
0.2600	0.0022	-4.3433
0.2800	0.0020	-4.3432
0.3000	0.0019	-4.3429
0.3200	0.0019	-4.3427
0.3400	0.0022	-4.3432
0.3600	0.0019	-4.3435
0.3800	0.0022	-4.3427
0.4000	0.0020	-4.3435
0.4200	0.0020	-4.3437
0.4400	0.0019	-4.3437
0.4600	0.0024	-4.3432
0.4800	0.0020	-4.3422
0.5000	0.0020	-4.3427
0.5200	0.0017	-4.3435
0.5400	0.0019	-4.3437
0.5600	0.0022	-4.3433
0.5800	0.0020	-4.3432
0.6000	0.0019	-4.3435
0.6200	0.0016	-4.3430
0.6400	0.0019	-4.3429
0.6600	0.0020	-4.3429
0.6800	0.0019	-4.3433
0.7000	0.0017	-4.3427
0.7200	0.0020	-4.3435
0.7400	0.0016	-4.3437
0.7600	0.0017	-4.3429
0.7800	0.0019	-4.3433
0.8000	0.0017	-4.3433
0.8200	0.0016	-4.3433
0.8400	0.0022	-4.3429
0.8600	0.0017	-4.3430
0.8800	0.0019	-4.3435
0.9000	0.0017	-4.3435
0.9200	0.0019	-4.3438
0.9400	0.0019	-4.3425
0.9600	0.0017	-4.3438
0.9800	0.0016	-4.3432
1.0000	0.0016	-4.3432
1.0200	0.0019	-4.3438
1.0400	0.0016	-4.3438
1.0600	0.0019	-4.3435
1.0800	0.0019	-4.3437
1.1000	0.0017	-4.3433
1.1200	0.0012	-4.3432
1.1400	0.0017	-4.3427
1.1600	0.0019	-4.3433
1.1800	0.0019	-4.3430
1.2000	0.0012	-4.3429
1.2200	0.0012	-4.3430
1.2400	0.0016	-4.3425
1.2600	0.0017	-4.3432
1.2800	0.0014	-4.3433
1.3000	0.0014	-4.3437
1.3200	0.0016	-4.3437
1.3400	0.0016	-4.3440
1.3600	0.0019	-4.3443
1.3800	0.0017	-4.3435
1.4000	0.0014	-4.3433
1.4200	0.0014	-4.3429
1.4400	0.0016	-4.3433
1.4600	0.0012	-4.3435
1.4800	0.0014	-4.3437
1.5000	0.0014	-4.3440
1.5200	0.0014	-4.3440
1.5400	0.0014	-4.3438
1.5600	0.0012	-4.3437
1.5800	0.0014	-4.3432
1.6000	0.0017	-4.3435
1.6200	0.0017	-4.3438
1.6400	0.0014	-4.3432
1.6600	0.0016	-4.3429
1.6800	0.0014	-4.3437
1.7000	0.0016	-4.3443
1.7200	0.0014	-4.3435
1.7400	0.0016	-4.3430
1.7600	0.0012	-4.3425
1.7800	0.0016	-4.3430
1.8000	0.0016	-4.3437
1.8200	0.0017	-4.3437
1.8400	0.0014	-4.3435
1.8600	0.0012	-4.3437
1.8800	0.0012	-4.3430
1.9000	0.0014	-4.3443
1.9200	0.0012	-4.3445
1.9400	0.0014	-4.3445
1.9600	0.0012	-4.3437
1.9800	0.0012	-4.3441
2.0000	0.0016	-4.3435
2.0200	0.0009	-4.3443
2.0400	0.0014	-4.3435
2.0600	0.0012	-4.3430
2.0800	0.0014	-4.3438
2.1000	0.0011	-4.3437
2.1200	0.0011	-4.3432
2.1400	0.0009	-4.3440
2.1600	0.0014	-4.3446
2.1800	0.0011	-4.3435
2.2000	0.0011	-4.3435
2.2200	0.0009	-4.3437
2.2400	0.0011	-4.3430
2.2600	0.0012	-4.3437
2.2800	0.0014	-4.3430
2.3000	0.0011	-4.3438
2.3200	0.0009	-4.3445
2.3400	0.0008	-4.3440
2.3600	0.0008	-4.3432
2.3800	0.0012	-4.3427
2.4000	0.0012	-4.3432
2.4200	0.0009	-4.3429
2.4400	0.0012	-4.3435
2.4600	0.0012	-4.3433
2.4800	0.0009	-4.3430
2.5000	0.0009	-4.3433
2.5200	0.0009	-4.3430
2.5400	0.0009	-4.3433
2.5600	0.0012	-4.3438
2.5800	0.0009	-4.3429
2.6000	0.0008	-4.3432
2.6200	0.0008	-4.3441
2.6400	0.0009	-4.3440
2.6600	0.0011	-4.3437
2.6800	0.0009	-4.3437
2.7000	0.0008	-4.3437
2.7200	0.0011	-4.3440
2.7400	0.0006	-4.3443
2.7600	0.0011	-4.3443
2.7800	0.0006	-4.3438
2.8000	0.0009	-4.3440
2.8200	0.0006	-4.3433
2.8400	0.0009	-4.3435
2.8600	0.0009	-4.3438
2.8800	0.0006	-4.3440
2.9000	0.0011	-4.3440
2.9200	0.0004	-4.3433
2.9400	0.0008	-4.3437
2.9600	0.0008	-4.3435
2.9800	0.0011	-4.3433
3.0000	0.0008	-4.3435
3.0200	0.0008	-4.3437
3.0400	0.0011	-4.3440
